Ticker,Factor,Beta,t-stat
CFLT,Mkt-RF,1.1904447221874923,7.317382196191231
CFLT,SMB,0.21109894407654078,0.7782016005296813
CFLT,HML,-0.5453378769314403,-2.1919793015446025
CFLT,RMW,-2.1577212233413854,-6.263696879585722
CFLT,CMA,-1.135397635840302,-3.465116854209062
CFLT,Mom,-0.35955613461986385,-1.974133473686213
CPER,Mkt-RF,0.5218106698249182,8.857435433364401
CPER,SMB,-0.10803516364939615,-1.0998152250075905
CPER,HML,-0.021092295450487,-0.23412250730285658
CPER,RMW,-0.10622047335254031,-0.8515147325873237
CPER,CMA,0.29963808870420505,2.5253143818888986
CPER,Mom,-0.049404896023320835,-0.7490802276478037
CRM,Mkt-RF,1.0041610115773625,14.040229358520811
CRM,SMB,-0.23687954070631628,-1.986359962552129
CRM,HML,-0.07355691238370538,-0.672540773055441
CRM,RMW,-0.8257891536446562,-5.452917355187471
CRM,CMA,-0.46397170641655144,-3.220963020287804
CRM,Mom,0.026287611240598238,0.32831087982746726
DE,Mkt-RF,0.8501224537633216,14.241773739703607
DE,SMB,0.39087619505981874,3.9271850882981423
DE,HML,0.30144687404112647,3.302308631991745
DE,RMW,0.26964697328168136,2.1333741989520156
DE,CMA,0.2643786707216594,2.1990363244747644
DE,Mom,-0.13720960784976707,-2.0531960589777074
DECK,Mkt-RF,1.165538648168492,11.627226709960768
DECK,SMB,0.7519713006372468,4.49894082331336
DECK,HML,-0.5467124919492081,-3.56642207486934
DECK,RMW,0.5666858489789475,2.669812261405053
DECK,CMA,-0.014069863895825097,-0.069688762374875
DECK,Mom,0.26537118795107517,2.364648181120999
MOH,Mkt-RF,0.3102443606382781,3.2947167152484402
MOH,SMB,-0.033647606441665374,-0.21430283293891184
MOH,HML,-0.1300725829944437,-0.9032838140848028
MOH,RMW,0.3695515150986425,1.8534380059729043
MOH,CMA,0.09448429132635171,0.49819250220921324
MOH,Mom,-0.3325051246908363,-3.154102702822508
PLTR,Mkt-RF,1.7977174637430728,11.781139239161527
PLTR,SMB,-0.23131536944267306,-0.9091381756751237
PLTR,HML,-0.014617856713175614,-0.06264318525193537
PLTR,RMW,-2.369798336993739,-7.334426077955564
PLTR,CMA,-1.3220604801482003,-4.301704448780091
PLTR,Mom,0.27207010871431087,1.5926120076653845
SBUX,Mkt-RF,1.0477534818111116,13.546437330274955
SBUX,SMB,-0.25567837770619994,-1.9825289357814009
SBUX,HML,0.12597316395616825,1.0650458319279854
SBUX,RMW,0.14520573658653485,0.8866222943266279
SBUX,CMA,0.5980739662687202,3.839231247066237
SBUX,Mom,-0.33648832392154965,-3.8859685593008524
XBI,Mkt-RF,0.6512087666475201,14.755109810208728
XBI,SMB,0.8470144292561301,11.509927009773644
XBI,HML,-0.37453757359113626,-5.549346980144123
XBI,RMW,-1.0289936466045746,-11.010924750915711
XBI,CMA,0.26426209079566826,2.9729011438530684
XBI,Mom,-0.13305665420032894,-2.692911681664835
