Target,R2(%),N_obs,Beta_LQD(%),t_LQD,p_LQD(%),Beta_HYG(%),t_HYG,p_HYG(%),Beta_HYG-LQD(%),t_HYG-LQD,p_HYG-LQD(%),Beta_VIXY(%),t_VIXY,p_VIXY(%)
XLK,59.452,367,23.198,4.593,0.001,62.581,9.036,0.0,39.383,4.751,0.0,-16.197,-11.323,0.0
SMH,50.277,367,24.892,3.357,0.087,69.088,6.794,0.0,44.196,3.631,0.032,-21.286,-10.134,0.0
IGV,49.214,367,23.156,3.746,0.021,64.273,7.582,0.0,41.117,4.052,0.006,-15.73,-8.983,0.0
XLY,66.56,367,27.307,5.938,0.0,82.272,13.045,0.0,54.964,7.281,0.0,-13.82,-10.609,0.0
XRT,52.212,367,21.542,3.226,0.137,116.534,12.725,0.0,94.992,8.666,0.0,-8.745,-4.623,0.001
XHB,69.956,367,67.776,11.879,0.0,129.14,16.505,0.0,61.364,6.552,0.0,-11.325,-7.008,0.0
XLP,43.826,367,22.791,6.127,0.0,35.855,7.028,0.0,13.063,2.139,3.308,-7.432,-7.053,0.0
XLC,57.098,367,16.722,3.745,0.021,59.96,9.792,0.0,43.238,5.899,0.0,-12.372,-9.782,0.0
XLV,49.67,367,25.315,6.165,0.0,37.595,6.676,0.0,12.28,1.822,6.93,-10.842,-9.321,0.0
XBI,35.76,367,30.357,3.625,0.033,52.364,4.56,0.001,22.007,1.601,11.024,-18.235,-7.688,0.0
XLE,38.471,367,-0.215,-0.025,97.996,79.308,6.775,0.0,79.523,5.675,0.0,-16.687,-6.901,0.0
XOP,34.574,367,-33.217,-2.96,0.327,88.213,5.733,0.0,121.43,6.593,0.0,-21.018,-6.613,0.0
XLB,66.742,367,22.949,5.324,0.0,85.511,14.467,0.0,62.562,8.843,0.0,-11.399,-9.337,0.0
XME,46.567,367,7.204,0.876,38.144,99.855,8.857,0.0,92.651,6.865,0.0,-16.844,-7.233,0.0
XLU,51.12,367,58.709,12.045,0.0,67.788,10.141,0.0,9.079,1.135,25.723,-4.504,-3.263,0.121
XLF,72.021,367,11.514,2.73,0.663,97.648,16.885,0.0,86.134,12.443,0.0,-12.578,-10.531,0.0
XLI,76.458,367,24.523,6.858,0.0,83.089,16.944,0.0,58.565,9.978,0.0,-13.592,-13.42,0.0
XLRE,66.944,367,62.473,13.945,0.0,101.166,16.467,0.0,38.693,5.262,0.0,-4.604,-3.628,0.033
