Target,R2(%),N_obs,Beta_Mkt-RF(%),t_Mkt-RF,p_Mkt-RF(%),Beta_SMB(%),t_SMB,p_SMB(%),Beta_HML(%),t_HML,p_HML(%),Beta_RMW(%),t_RMW,p_RMW(%),Beta_CMA(%),t_CMA,p_CMA(%),Beta_Mom(%),t_Mom,p_Mom(%)
XLK,1.375,367,-1.582,-0.402,68.78,14.738,1.884,6.043,-10.413,-1.628,10.435,10.3,1.148,25.154,5.405,0.572,56.744,3.304,0.615,53.877
SMH,1.495,367,-2.688,-0.516,60.645,20.339,1.962,5.058,-12.435,-1.467,14.317,12.329,1.037,30.028,12.449,0.995,32.048,7.298,1.025,30.586
IGV,0.392,367,-1.036,-0.24,81.078,7.797,0.907,36.525,-6.437,-0.916,36.047,2.963,0.301,76.389,2.917,0.281,77.885,0.563,0.095,92.406
XLY,1.171,367,-1.964,-0.497,61.915,7.776,0.99,32.282,-6.633,-1.033,30.22,1.695,0.188,85.076,-1.578,-0.166,86.787,4.891,0.907,36.491
XRT,0.71,367,3.971,0.826,40.936,4.236,0.443,65.804,-4.147,-0.531,59.607,-5.645,-0.515,60.683,0.304,0.026,97.899,2.236,0.341,73.351
XHB,0.6,367,2.917,0.563,57.393,-0.371,-0.036,97.131,-8.885,-1.054,29.238,5.725,0.484,62.834,5.502,0.442,65.858,-2.212,-0.313,75.476
XLP,0.187,367,-0.018,-0.007,99.425,-1.791,-0.364,71.642,-1.144,-0.284,77.656,-0.586,-0.104,91.743,-0.644,-0.108,91.38,-1.812,-0.536,59.234
XLC,1.19,367,-0.117,-0.035,97.233,10.902,1.619,10.624,-7.611,-1.383,16.747,8.438,1.093,27.492,5.755,0.708,47.915,4.729,1.023,30.677
XLV,1.033,367,-4.026,-1.4,16.236,2.849,0.498,61.873,-6.188,-1.323,18.652,2.1,0.32,74.892,6.925,1.003,31.651,-3.536,-0.901,36.841
XBI,0.644,367,-2.887,-0.555,57.916,0.442,0.043,96.592,-9.001,-1.064,28.783,1.333,0.112,91.057,2.348,0.188,85.097,-0.971,-0.137,89.134
XLE,1.483,367,-5.87,-1.088,27.726,18.035,1.681,9.37,-5.172,-0.59,55.579,8.834,0.718,47.309,13.998,1.081,28.048,4.794,0.651,51.555
XOP,1.615,367,-6.945,-1.011,31.286,23.475,1.717,8.678,-11.269,-1.009,31.383,5.632,0.359,71.948,18.852,1.143,25.388,8.937,0.953,34.144
XLB,0.507,367,-1.507,-0.405,68.589,3.862,0.522,60.231,-6.866,-1.134,25.741,3.592,0.423,67.241,6.621,0.741,45.932,1.042,0.205,83.776
XME,0.329,367,-2.075,-0.37,71.165,1.863,0.167,86.747,-3.255,-0.357,72.126,-3.085,-0.241,80.945,11.125,0.826,40.912,-0.266,-0.035,97.232
XLU,0.433,367,-2.423,-0.697,48.599,0.704,0.102,91.886,-2.544,-0.45,65.272,6.616,0.835,40.411,-0.732,-0.088,93.015,-2.148,-0.453,65.101
XLF,0.174,367,-1.906,-0.479,63.21,5.062,0.64,52.278,-0.819,-0.127,89.926,2.177,0.24,81.044,1.699,0.178,85.886,0.068,0.013,99.002
XLI,0.308,367,-1.171,-0.319,75.01,7.087,0.97,33.294,-1.726,-0.289,77.289,5.122,0.611,54.137,-1.478,-0.167,86.709,2.657,0.53,59.669
XLRE,0.083,367,0.662,0.17,86.506,-0.143,-0.019,98.523,-0.757,-0.12,90.473,2.989,0.337,73.634,0.704,0.075,93.992,1.453,0.274,78.453
